state,product,profit
AL,Furniture,-480.89
AL,Office Supplies,566.5835
AL,Technology,1146.432
AR,Furniture,-2037.14
AR,Office Supplies,1900.896
AR,Technology,-1100.274
CA,Furniture,10392.96439
CA,Office Supplies,7551.6369
CA,Technology,4376.533
CT,Office Supplies,545.7994
DE,Office Supplies,116.7834
DE,Technology,-22.3772
DC,Furniture,4726.27922
DC,Office Supplies,14503.7058
DC,Technology,6285.5037
FL,Furniture,-3191.514771
FL,Office Supplies,-1566.445915
FL,Technology,5023.61722
GA,Furniture,959.9484377
GA,Office Supplies,-412.57152
GA,Technology,92.96456
IL,Furniture,-631.804
IL,Office Supplies,22581.01856
IL,Technology,10788.2062
IN,Furniture,-348.91576
IN,Office Supplies,-201.985
IN,Technology,-367.165
KS,Furniture,-44.9219
KS,Office Supplies,389.23016
KS,Technology,2343.71798
KY,Furniture,6.576
KY,Office Supplies,-2804.9874
KY,Technology,997.338
ME,Furniture,5116.836565
ME,Office Supplies,-0.918
ME,Technology,-15.737
MA,Furniture,1308.0927
MA,Office Supplies,3735.747
MA,Technology,6371.5632
MI,Furniture,1034.6047
MI,Office Supplies,1203.1102
MI,Technology,2653.85514
MN,Furniture,-82.904
MN,Office Supplies,91.56458
MN,Technology,10421.8287
NJ,Furniture,-1011.592262
NJ,Office Supplies,-29.0384
NJ,Technology,1043.566992
NY,Furniture,3178.792744
NY,Office Supplies,12035.7551
NY,Technology,31315.05476
NC,Furniture,-359.9528783
NC,Office Supplies,5543.725455
NC,Technology,4299.37268
OH,Furniture,5310.274286
OH,Office Supplies,-189.30048
OH,Technology,1539.8502
OR,Furniture,-375.32008
OR,Office Supplies,-38.01492
OR,Technology,14558.13408
PA,Furniture,1144.3619
PA,Office Supplies,6178.2388
PA,Technology,2593.0638
SD,Office Supplies,800.2551
SD,Technology,4603.5489
TX,Furniture,-159.209
TX,Office Supplies,13374.5195
TX,Technology,6597.6285
VA,Furniture,179.5725
VA,Office Supplies,-4802.6414
VA,Technology,2482.71488
WA,Furniture,6844.776307
WA,Office Supplies,4206.7723
WA,Technology,10742.61572
WI,Office Supplies,5543.30436
WI,Technology,-3222.8658
WI,Technology,-3222.8658
