name,profit,lat,lon
Atlanta,516.5723577,33.7629,-84.4227
Boston,11434.5729,42.332,-71.0202
Centereach,8497.96336,40.8584316,-73.0995539
Charlotte,4205.611257,35.2087,-80.8307
Chicago,15200.5696,41.8376,-87.6818
Dallas,2072.8088,32.7757,-96.7967
Detroit,5705.24258,42.383,-83.1022
Gainesville,268.28422,29.651634,-82.315096
Gresham,2249.99034,45.500136,-122.430201
Hays,2688.02624,38.879178,-99.32677
Homewood,-204.7555,33.471773,-86.800823
Houston,18101.0414,29.7805,-95.3863
Kent,8276.659349,39.1252,-94.5511
Los Angeles,15341.98999,34.0194,-118.4108
Madison,7736.3135,43.073052,-89.40123
Mechanicsville,-2551.031,37.608756,-77.373314
Miami,-239.7697655,25.7752,-80.2086
New York City,38244.19671,40.6643,-73.9385
Newark,-412.242213,40.735657,-74.172367
Philadelphia,9915.6645,40.0094,-75.1333
Portland,16994.99031,45.537,-122.65
Richmond,-892.95466,37.540725,-77.436048
Roseville,11457.56494,38.752124,-121.288006
San Diego,-228.11134,32.8153,-117.135
San Francisco,5579.18744,37.7751,-122.4193
Seattle,20705.64813,47.6205,-122.3509
Washington,25515.48872,38.9041,-77.0171
Watertown,1721.147594,42.37093,-71.182832
